rule;side;dataset;field;filter;minus
Superávit/déficit Financeiro;left;balver;saldo_atual_credito;conta_contabil.str.startswith('8.2.1.1.1.');
Superávit/déficit Financeiro;left;balver;saldo_atual_debito;conta_contabil.str.startswith('8.2.1.1.1.');1
Superávit/déficit Financeiro;right;balver;saldo_atual_debito;conta_contabil.str.startswith('1.') & indicador_superavit_financeiro=='F';
Superávit/déficit Financeiro;right;balver;saldo_atual_credito;conta_contabil.str.startswith('1.') & indicador_superavit_financeiro=='F';1
Superávit/déficit Financeiro;right;balver;saldo_atual_credito;conta_contabil.str.startswith('2.1.') & indicador_superavit_financeiro=='F';1
Superávit/déficit Financeiro;right;balver;saldo_atual_debito;conta_contabil.str.startswith('2.1.') & indicador_superavit_financeiro=='F';
Superávit/déficit Financeiro;right;balver;saldo_atual_credito;conta_contabil.str.startswith('2.2.') & indicador_superavit_financeiro=='F';1
Superávit/déficit Financeiro;right;balver;saldo_atual_debito;conta_contabil.str.startswith('2.2.') & indicador_superavit_financeiro=='F';
Superávit/déficit Financeiro;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.2.1.1.2.');1
Superávit/déficit Financeiro;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.2.1.1.2.');
